customer_id,email,first_name,last_name,created_at,updated_at
1,customer1@example.com,First1,Last1,2023-01-01 00:00:00,2023-01-01 00:00:00
2,customer2@example.com,First2,Last2,2023-01-01 06:00:00,2023-01-01 06:00:00
3,customer3@example.com,First3,Last3,2023-01-01 12:00:00,2023-01-01 12:00:00
4,customer4@example.com,First4,Last4,2023-01-01 18:00:00,2023-01-01 18:00:00
5,customer5@example.com,First5,Last5,2023-01-02 00:00:00,2023-01-02 00:00:00
6,customer6@example.com,First6,Last6,2023-01-02 06:00:00,2023-01-02 06:00:00
7,customer7@example.com,First7,Last7,2023-01-02 12:00:00,2023-01-02 12:00:00
8,customer8@example.com,First8,Last8,2023-01-02 18:00:00,2023-01-02 18:00:00
9,customer9@example.com,First9,Last9,2023-01-03 00:00:00,2023-01-03 00:00:00
10,customer10@example.com,First10,Last10,2023-01-03 06:00:00,2023-01-03 06:00:00
11,customer11@example.com,First11,Last11,2023-01-03 12:00:00,2023-01-03 12:00:00
12,customer12@example.com,First12,Last12,2023-01-03 18:00:00,2023-01-03 18:00:00
13,customer13@example.com,First13,Last13,2023-01-04 00:00:00,2023-01-04 00:00:00
14,customer14@example.com,First14,Last14,2023-01-04 06:00:00,2023-01-04 06:00:00
15,customer15@example.com,First15,Last15,2023-01-04 12:00:00,2023-01-04 12:00:00
16,customer16@example.com,First16,Last16,2023-01-04 18:00:00,2023-01-04 18:00:00
17,customer17@example.com,First17,Last17,2023-01-05 00:00:00,2023-01-05 00:00:00
18,customer18@example.com,First18,Last18,2023-01-05 06:00:00,2023-01-05 06:00:00
19,customer19@example.com,First19,Last19,2023-01-05 12:00:00,2023-01-05 12:00:00
20,customer20@example.com,First20,Last20,2023-01-05 18:00:00,2023-01-05 18:00:00
21,customer21@example.com,First21,Last21,2023-01-06 00:00:00,2023-01-06 00:00:00
22,customer22@example.com,First22,Last22,2023-01-06 06:00:00,2023-01-06 06:00:00
23,customer23@example.com,First23,Last23,2023-01-06 12:00:00,2023-01-06 12:00:00
24,customer24@example.com,First24,Last24,2023-01-06 18:00:00,2023-01-06 18:00:00
25,customer25@example.com,First25,Last25,2023-01-07 00:00:00,2023-01-07 00:00:00
26,customer26@example.com,First26,Last26,2023-01-07 06:00:00,2023-01-07 06:00:00
27,customer27@example.com,First27,Last27,2023-01-07 12:00:00,2023-01-07 12:00:00
28,customer28@example.com,First28,Last28,2023-01-07 18:00:00,2023-01-07 18:00:00
29,customer29@example.com,First29,Last29,2023-01-08 00:00:00,2023-01-08 00:00:00
30,customer30@example.com,First30,Last30,2023-01-08 06:00:00,2023-01-08 06:00:00
31,customer31@example.com,First31,Last31,2023-01-08 12:00:00,2023-01-08 12:00:00
32,customer32@example.com,First32,Last32,2023-01-08 18:00:00,2023-01-08 18:00:00
33,customer33@example.com,First33,Last33,2023-01-09 00:00:00,2023-01-09 00:00:00
34,customer34@example.com,First34,Last34,2023-01-09 06:00:00,2023-01-09 06:00:00
35,customer35@example.com,First35,Last35,2023-01-09 12:00:00,2023-01-09 12:00:00
36,customer36@example.com,First36,Last36,2023-01-09 18:00:00,2023-01-09 18:00:00
37,customer37@example.com,First37,Last37,2023-01-10 00:00:00,2023-01-10 00:00:00
38,customer38@example.com,First38,Last38,2023-01-10 06:00:00,2023-01-10 06:00:00
39,customer39@example.com,First39,Last39,2023-01-10 12:00:00,2023-01-10 12:00:00
40,customer40@example.com,First40,Last40,2023-01-10 18:00:00,2023-01-10 18:00:00
41,customer41@example.com,First41,Last41,2023-01-11 00:00:00,2023-01-11 00:00:00
42,customer42@example.com,First42,Last42,2023-01-11 06:00:00,2023-01-11 06:00:00
43,customer43@example.com,First43,Last43,2023-01-11 12:00:00,2023-01-11 12:00:00
44,customer44@example.com,First44,Last44,2023-01-11 18:00:00,2023-01-11 18:00:00
45,customer45@example.com,First45,Last45,2023-01-12 00:00:00,2023-01-12 00:00:00
46,customer46@example.com,First46,Last46,2023-01-12 06:00:00,2023-01-12 06:00:00
47,customer47@example.com,First47,Last47,2023-01-12 12:00:00,2023-01-12 12:00:00
48,customer48@example.com,First48,Last48,2023-01-12 18:00:00,2023-01-12 18:00:00
49,customer49@example.com,First49,Last49,2023-01-13 00:00:00,2023-01-13 00:00:00
50,customer50@example.com,First50,Last50,2023-01-13 06:00:00,2023-01-13 06:00:00
51,customer51@example.com,First51,Last51,2023-01-13 12:00:00,2023-01-13 12:00:00
52,customer52@example.com,First52,Last52,2023-01-13 18:00:00,2023-01-13 18:00:00
53,customer53@example.com,First53,Last53,2023-01-14 00:00:00,2023-01-14 00:00:00
54,customer54@example.com,First54,Last54,2023-01-14 06:00:00,2023-01-14 06:00:00
55,customer55@example.com,First55,Last55,2023-01-14 12:00:00,2023-01-14 12:00:00
